game_id,name,date,player_count,gain,percentage_gain,followers,rank,positive_reviews,negative_reviews,positive_percentage
413150,Stardew Valley,June 2021,"36,557",+873,+2.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2021,"35,684","-6,894",-16.2%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2021,"42,578","-9,797",-18.7%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2021,"52,375","-7,356",-12.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2021,"59,731","-35,148",-37.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2021,"94,879","+1,413",+1.5%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2020,"93,466","+70,832",+312.9%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2020,"22,634","+4,240",+23.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,October 2020,"18,394","-1,302",-6.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,September 2020,"19,696","-3,865",-16.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,August 2020,"23,561","-5,536",-19.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,July 2020,"29,097","+4,272",+17.2%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,June 2020,"24,825","-7,072",-22.2%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2020,"31,897","-13,095",-29.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2020,"44,992",-582,-1.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2020,"45,574","+11,517",+33.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2020,"34,057","-3,786",-10.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2020,"37,843","-1,334",-3.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2019,"39,177",+877,+2.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2019,"38,300","+24,033",+168.5%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,October 2019,"14,267",-90,-0.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,September 2019,"14,357","-2,190",-13.2%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,August 2019,"16,547","-8,373",-33.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,July 2019,"24,920",-148,-0.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,June 2019,"25,068","+3,618",+16.9%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2019,"21,450","+1,340",+6.7%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2019,"20,110",+40,+0.2%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2019,"20,070",+696,+3.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2019,"19,374","-3,971",-17.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2019,"23,345","-1,217",-5.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2018,"24,562","+8,357",+51.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2018,"16,205",-133,-0.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,October 2018,"16,338","-3,728",-18.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,September 2018,"20,066","-7,356",-26.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,August 2018,"27,422","+2,932",+12.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,July 2018,"24,490","-5,912",-19.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,June 2018,"30,402","-24,433",-44.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2018,"54,835","+22,687",+70.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2018,"32,148","+19,412",+152.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2018,"12,736","-1,925",-13.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2018,"14,661","-4,052",-21.7%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2018,"18,713","-1,468",-7.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2017,"20,181","+2,240",+12.5%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2017,"17,941","+4,227",+30.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
